task	input	output	score
imdb-like movie reviews	The acting was mediocre at best, with no standout performances.	negative	1.0
imdb-like movie reviews	The cinematography was breathtaking and truly elevated the film.	positive	1.0
imdb-like movie reviews	The dialogue was poorly written and felt unnatural.	negative	1.0
imdb-like movie reviews	The ending was satisfying and wrapped up the story nicely.	positive	1.0
imdb-like movie reviews	The character development was lacking and made it hard to connect with the protagonists.	negative	1.0
imdb-like movie reviews	The soundtrack perfectly complemented the mood of the movie.	positive	1.0
imdb-like movie reviews	I found the storyline to be engaging and well-paced.	positive	1.0
imdb-like movie reviews	The plot was confusing and left many questions unanswered.	negative	1.0
imdb-like movie reviews	The special effects were impressive and added to the overall experience.	positive	1.0
imdb-like movie reviews	The film was a visual masterpiece but lacked substance.	negative	0.0
