task	input	output	score
imdb-like movie reviews	The director's vision was clearly executed and impactful.	positive	1.0
imdb-like movie reviews	The pacing was slow and made the movie feel longer than it was.	negative	1.0
imdb-like movie reviews	The dialogue was cheesy and unrealistic.	negative	1.0
imdb-like movie reviews	I was thoroughly entertained from start to finish.	positive	1.0
imdb-like movie reviews	The plot was predictable and lacked originality.	negative	1.0
imdb-like movie reviews	The special effects were subpar and distracting.	negative	1.0
imdb-like movie reviews	The character development was impressive and engaging.	positive	1.0
imdb-like movie reviews	The cinematography was breathtaking and truly elevated the film.	positive	1.0
imdb-like movie reviews	The acting was decent, but nothing to write home about.	neutral	1.0
imdb-like movie reviews	The soundtrack perfectly complemented the emotional scenes.	positive	1.0
